,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1169.94677734375,2023-03-23 16:05:19.509254,2023-03-23 16:05:48.294446,0 days 00:00:28.785192,0.5970111931295986,7.144192751721344,2.6977743999552777,4,0.9754179927066029,COMPLETE
1,1,1170.1627197265625,2023-03-23 16:05:48.425495,2023-03-23 16:06:37.383370,0 days 00:00:48.957875,0.8331036291367298,10.222627015472138,2.369916267236034,8,0.6210840515572518,COMPLETE
2,2,1165.6590576171875,2023-03-23 16:06:37.514159,2023-03-23 16:07:23.471783,0 days 00:00:45.957624,0.554379618397746,5.932903600654666,3.2124656216260954,8,0.760477869781369,COMPLETE
3,3,1169.849609375,2023-03-23 16:07:23.635790,2023-03-23 16:08:19.906077,0 days 00:00:56.270287,0.9868724347574761,6.040537955643969,1.2548892682883457,8,0.8986115875118932,COMPLETE
4,4,1163.04248046875,2023-03-23 16:08:20.033128,2023-03-23 16:09:06.007505,0 days 00:00:45.974377,0.7971811318206543,14.450960592577609,15.760235137574032,7,0.8370379175809974,COMPLETE
5,5,1166.198486328125,2023-03-23 16:09:06.135037,2023-03-23 16:09:49.100467,0 days 00:00:42.965430,0.960803994914106,8.510191486032333,10.987101520343833,7,0.6294931885798956,COMPLETE
6,6,1164.2232666015625,2023-03-23 16:09:49.236021,2023-03-23 16:10:45.309688,0 days 00:00:56.073667,0.9420523903091094,13.325490280193483,17.32552248399886,8,0.7542558486791205,COMPLETE
7,7,1164.2686767578125,2023-03-23 16:10:45.438043,2023-03-23 16:11:22.338368,0 days 00:00:36.900325,0.755603468293939,8.863476824645506,7.5880685182228325,6,0.8010578723057666,COMPLETE
8,8,1173.1456298828125,2023-03-23 16:11:22.464578,2023-03-23 16:11:51.980886,0 days 00:00:29.516308,0.7170798151281442,7.448221111997028,16.240164080433402,5,0.7442845809802263,COMPLETE
9,9,1172.277587890625,2023-03-23 16:11:52.107319,2023-03-23 16:12:22.141495,0 days 00:00:30.034176,0.9674976265863808,9.624902969340642,18.600479538797053,5,0.6213757922228065,COMPLETE
10,10,1161.46484375,2023-03-23 16:12:22.265541,2023-03-23 16:13:03.769417,0 days 00:00:41.503876,0.8438016958441581,19.08196993657432,13.651308286389108,6,0.9972623742207332,COMPLETE
11,11,1161.856201171875,2023-03-23 16:13:03.903388,2023-03-23 16:13:45.500419,0 days 00:00:41.597031,0.8575034523933522,19.383510478647164,13.591175285272165,6,0.9847459180726773,COMPLETE
12,12,1162.4068603515625,2023-03-23 16:13:45.668851,2023-03-23 16:14:28.573128,0 days 00:00:42.904277,0.8756207922127235,19.593659100245155,13.065886863455342,6,0.9927138016748915,COMPLETE
13,13,1161.8955078125,2023-03-23 16:14:28.699837,2023-03-23 16:15:02.789581,0 days 00:00:34.089744,0.873980080289197,19.780379774621803,13.534539753097553,5,0.929571125113436,COMPLETE
14,14,1163.77197265625,2023-03-23 16:15:02.920120,2023-03-23 16:15:50.905548,0 days 00:00:47.985428,0.7146931427688314,16.88541148838744,19.586266113738716,7,0.9870901502423077,COMPLETE
15,15,1178.618408203125,2023-03-23 16:15:51.102437,2023-03-23 16:16:30.686195,0 days 00:00:39.583758,0.9040680218704049,2.32624397339886,9.961089655867447,6,0.8987037863695203,COMPLETE
16,16,1170.6708984375,2023-03-23 16:16:30.816987,2023-03-23 16:16:58.684640,0 days 00:00:27.867653,0.8208823807047989,17.616721619404352,14.609410500196956,4,0.9991957757449935,COMPLETE
17,17,1164.1568603515625,2023-03-23 16:16:58.815757,2023-03-23 16:17:32.944832,0 days 00:00:34.129075,0.9056783539734453,13.106384077926535,11.954936366590935,5,0.9194301386225703,COMPLETE
18,18,1161.0665283203125,2023-03-23 16:17:33.083341,2023-03-23 16:18:19.259339,0 days 00:00:46.175998,0.7854168895718056,16.622699859757873,14.707146041224954,7,0.8459239419295601,COMPLETE
19,19,1162.6922607421875,2023-03-23 16:18:19.421241,2023-03-23 16:19:05.664923,0 days 00:00:46.243682,0.7814763527879993,16.943633223770988,17.243757301078748,7,0.8539432844960427,COMPLETE
