,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1184.24267578125,2023-03-23 16:43:08.498571,2023-03-23 16:43:45.790337,0 days 00:00:37.291766,0.5427456758875928,6.757753009103131,6,0.962812368088849,COMPLETE
1,1,1204.93505859375,2023-03-23 16:43:45.933907,2023-03-23 16:44:16.742491,0 days 00:00:30.808584,0.9659235872668062,14.31160445939518,5,0.6975830742653384,COMPLETE
2,2,1200.4117431640625,2023-03-23 16:44:16.886232,2023-03-23 16:44:49.575577,0 days 00:00:32.689345,0.6363119141705389,15.604837563478606,5,0.9685706246562007,COMPLETE
3,3,1192.3123779296875,2023-03-23 16:44:49.724639,2023-03-23 16:45:45.114928,0 days 00:00:55.390289,0.6994165633619,13.806316277020125,8,0.9752202657645259,COMPLETE
4,4,1184.5223388671875,2023-03-23 16:45:45.324589,2023-03-23 16:46:25.222586,0 days 00:00:39.897997,0.6020816717155187,7.27355028727066,6,0.9464904220810042,COMPLETE
5,5,1221.0411376953125,2023-03-23 16:46:25.427344,2023-03-23 16:46:48.830365,0 days 00:00:23.403021,0.5241500615859522,18.926900428920447,4,0.7370745705118895,COMPLETE
6,6,1212.1202392578125,2023-03-23 16:46:48.995737,2023-03-23 16:47:25.343952,0 days 00:00:36.348215,0.9237469735360171,17.223356634613626,6,0.618773848495993,COMPLETE
7,7,1192.606201171875,2023-03-23 16:47:25.484924,2023-03-23 16:47:54.492132,0 days 00:00:29.007208,0.7189810429796424,5.8288763152849175,5,0.5147695451319678,COMPLETE
8,8,1189.2681884765625,2023-03-23 16:47:54.653417,2023-03-23 16:48:23.542133,0 days 00:00:28.888716,0.9209196013118468,5.2490837801521435,4,0.9710677168760051,COMPLETE
9,9,1209.6751708984375,2023-03-23 16:48:23.678387,2023-03-23 16:48:47.680188,0 days 00:00:24.001801,0.5490374659462554,13.158566361861718,4,0.7458205499374599,COMPLETE
10,10,1174.94775390625,2023-03-23 16:48:47.821418,2023-03-23 16:49:34.161875,0 days 00:00:46.340457,0.5096374577295016,1.4140143344267422,8,0.854469120097129,COMPLETE
11,11,1175.636474609375,2023-03-23 16:49:34.294178,2023-03-23 16:50:20.397266,0 days 00:00:46.103088,0.5015245568693198,2.198728117024867,8,0.866526571864021,COMPLETE
12,12,1174.4666748046875,2023-03-23 16:50:20.596105,2023-03-23 16:51:07.545420,0 days 00:00:46.949315,0.5142620744805442,1.7702531449168002,8,0.8484800239478923,COMPLETE
13,13,1173.1773681640625,2023-03-23 16:51:07.691640,2023-03-23 16:51:49.751270,0 days 00:00:42.059630,0.6119819917316703,1.1807702375369973,7,0.8374153289925412,COMPLETE
14,14,1173.6771240234375,2023-03-23 16:51:49.899445,2023-03-23 16:52:31.311682,0 days 00:00:41.412237,0.6512041562914425,1.325822478044575,7,0.7955784693434473,COMPLETE
15,15,1189.764404296875,2023-03-23 16:52:31.444954,2023-03-23 16:53:15.380890,0 days 00:00:43.935936,0.7889085269459692,10.11487671008319,7,0.8012192124461648,COMPLETE
16,16,1177.806640625,2023-03-23 16:53:15.549750,2023-03-23 16:53:57.683530,0 days 00:00:42.133780,0.64086684721984,3.808148639578468,7,0.8060522598603733,COMPLETE
17,17,1174.1064453125,2023-03-23 16:53:57.826004,2023-03-23 16:54:43.652382,0 days 00:00:45.826378,0.7927122111057079,1.0941703034443786,7,0.90936706995234,COMPLETE
18,18,1177.2745361328125,2023-03-23 16:54:43.824062,2023-03-23 16:55:25.907660,0 days 00:00:42.083598,0.6091099693667993,3.835799108001771,7,0.7916782392656201,COMPLETE
19,19,1185.585693359375,2023-03-23 16:55:26.047567,2023-03-23 16:56:11.532395,0 days 00:00:45.484828,0.6733608527525704,8.445436015607006,7,0.8886865825659541,COMPLETE
