,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1943.275390625,2023-03-23 16:26:38.447522,2023-03-23 16:27:09.255208,0 days 00:00:30.807686,0.6286509777731715,15.275807150467088,5,0.9507243225705879,COMPLETE
1,1,1938.8228759765625,2023-03-23 16:27:09.380063,2023-03-23 16:27:55.581665,0 days 00:00:46.201602,0.93082087217349,5.754479715463186,7,0.6550113707727159,COMPLETE
2,2,1941.1468505859375,2023-03-23 16:27:55.707168,2023-03-23 16:28:27.088931,0 days 00:00:31.381763,0.9048010581954833,18.913365947384346,5,0.7776215052337896,COMPLETE
3,3,1943.0029296875,2023-03-23 16:28:27.211528,2023-03-23 16:28:58.761263,0 days 00:00:31.549735,0.5547761350913003,16.75501767185409,6,0.5205311303863687,COMPLETE
4,4,1939.732177734375,2023-03-23 16:28:58.897551,2023-03-23 16:29:42.383676,0 days 00:00:43.486125,0.792027662691687,7.578150094706304,7,0.6215193030740973,COMPLETE
5,5,1939.2349853515625,2023-03-23 16:29:42.510988,2023-03-23 16:30:32.549381,0 days 00:00:50.038393,0.8453627431955913,1.5763817915233171,7,0.9240760976639173,COMPLETE
6,6,1943.401123046875,2023-03-23 16:30:32.679190,2023-03-23 16:30:57.897654,0 days 00:00:25.218464,0.7575708175183173,16.96662775205645,4,0.8547537677435113,COMPLETE
7,7,1942.677490234375,2023-03-23 16:30:58.020783,2023-03-23 16:31:37.688418,0 days 00:00:39.667635,0.502823699082465,14.487556451430935,7,0.6382671699337077,COMPLETE
8,8,1940.276123046875,2023-03-23 16:31:37.816055,2023-03-23 16:32:17.043831,0 days 00:00:39.227776,0.8521210939496944,11.23437617240044,6,0.8615841863210654,COMPLETE
9,9,1939.524658203125,2023-03-23 16:32:17.168512,2023-03-23 16:33:14.504885,0 days 00:00:57.336373,0.733958712058975,18.57236132171329,8,0.7707974328633632,COMPLETE
10,10,1937.7635498046875,2023-03-23 16:33:14.635656,2023-03-23 16:34:15.387006,0 days 00:01:00.751350,0.9711054621951719,5.337843226660524,8,0.6880648392461934,COMPLETE
11,11,1937.70068359375,2023-03-23 16:34:15.523740,2023-03-23 16:35:16.477120,0 days 00:01:00.953380,0.9913252387270277,5.484166841895552,8,0.6791630128862741,COMPLETE
12,12,1937.7210693359375,2023-03-23 16:35:16.612196,2023-03-23 16:36:17.600350,0 days 00:01:00.988154,0.975928777842911,4.182282873670356,8,0.6909901070082545,COMPLETE
13,13,1937.5128173828125,2023-03-23 16:36:17.736964,2023-03-23 16:37:19.430156,0 days 00:01:01.693192,0.987328365720438,1.027362410388439,8,0.700161901292932,COMPLETE
14,14,1937.6173095703125,2023-03-23 16:37:19.563035,2023-03-23 16:38:17.516260,0 days 00:00:57.953225,0.9845040425618841,1.7586050509456848,8,0.583827203210708,COMPLETE
15,15,1937.547607421875,2023-03-23 16:38:17.683142,2023-03-23 16:39:16.715700,0 days 00:00:59.032558,0.9970276823269559,1.4297146776810772,8,0.5536230152198478,COMPLETE
16,16,1938.839111328125,2023-03-23 16:39:16.842009,2023-03-23 16:40:00.122480,0 days 00:00:43.280471,0.9095387420177934,1.189153991056851,7,0.528017147466861,COMPLETE
17,17,1939.52001953125,2023-03-23 16:40:00.261145,2023-03-23 16:40:36.019462,0 days 00:00:35.758317,0.9964309320410217,9.155253788705274,6,0.5774132834591555,COMPLETE
18,18,1938.2628173828125,2023-03-23 16:40:36.146532,2023-03-23 16:41:35.803672,0 days 00:00:59.657140,0.8674356839758288,3.1612677483081786,8,0.7269346933599865,COMPLETE
19,19,1940.8406982421875,2023-03-23 16:41:35.952999,2023-03-23 16:42:05.197429,0 days 00:00:29.244430,0.9401867702202976,3.2670314067361588,5,0.5142636811129974,COMPLETE
