,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1156.877197265625,2023-03-23 16:19:52.428829,2023-03-23 16:20:10.826035,0 days 00:00:18.397206,0.8690685597976326,11.66972256235897,7,0.7304633701493701,COMPLETE
1,1,1160.87548828125,2023-03-23 16:20:10.959762,2023-03-23 16:20:29.297801,0 days 00:00:18.338039,0.9639310866256375,5.7612415219497555,4,0.5847271890690334,COMPLETE
2,2,1157.2139892578125,2023-03-23 16:20:29.428757,2023-03-23 16:20:43.684720,0 days 00:00:14.255963,0.6564615143239068,2.2518363848198657,8,0.5727015123843497,COMPLETE
3,3,1158.8232421875,2023-03-23 16:20:43.818588,2023-03-23 16:20:59.146361,0 days 00:00:15.327773,0.6331291882969539,17.847622020374843,8,0.6456525206074084,COMPLETE
4,4,1157.861328125,2023-03-23 16:20:59.308208,2023-03-23 16:21:14.916701,0 days 00:00:15.608493,0.779538267597558,18.447881572551474,6,0.5907586783122073,COMPLETE
5,5,1158.71337890625,2023-03-23 16:21:15.049126,2023-03-23 16:21:46.104673,0 days 00:00:31.055547,0.7049697912264044,9.030649534632282,4,0.8950022967731839,COMPLETE
6,6,1157.7110595703125,2023-03-23 16:21:46.237826,2023-03-23 16:22:02.846349,0 days 00:00:16.608523,0.8455602723996156,1.7152893227427457,5,0.7730533829105302,COMPLETE
7,7,1159.0076904296875,2023-03-23 16:22:02.980453,2023-03-23 16:22:23.010617,0 days 00:00:20.030164,0.7306588595964827,17.82379414176239,4,0.7143517817452043,COMPLETE
8,8,1156.960693359375,2023-03-23 16:22:23.145334,2023-03-23 16:22:40.458006,0 days 00:00:17.312672,0.8941973847379194,4.909597429428835,7,0.8423076820933539,COMPLETE
9,9,1156.0408935546875,2023-03-23 16:22:40.592758,2023-03-23 16:22:59.028667,0 days 00:00:18.435909,0.8394191470933337,9.557401741669699,6,0.8156675203030759,COMPLETE
10,10,1157.2276611328125,2023-03-23 16:22:59.174484,2023-03-23 16:23:20.965536,0 days 00:00:21.791052,0.5263492478443474,12.539799438426687,6,0.9566253177641927,COMPLETE
11,11,1154.209716796875,2023-03-23 16:23:21.104094,2023-03-23 16:23:41.330576,0 days 00:00:20.226482,0.8443789126698047,12.030010980622341,7,0.7665972174067502,COMPLETE
12,12,1157.885986328125,2023-03-23 16:23:41.470174,2023-03-23 16:23:59.366004,0 days 00:00:17.895830,0.8039774914951693,13.915098585947538,7,0.8204631135721071,COMPLETE
13,13,1158.305908203125,2023-03-23 16:23:59.494714,2023-03-23 16:24:17.367182,0 days 00:00:17.872468,0.9813809818605115,9.48344048400859,5,0.6828375920884833,COMPLETE
14,14,1157.6962890625,2023-03-23 16:24:17.537581,2023-03-23 16:24:38.539020,0 days 00:00:21.001439,0.9127544477430137,15.046235446167337,6,0.787462104373209,COMPLETE
15,15,1158.796630859375,2023-03-23 16:24:38.672839,2023-03-23 16:24:52.343022,0 days 00:00:13.670183,0.8288416148475656,9.448432087026978,7,0.5088087841671087,COMPLETE
16,16,1156.052978515625,2023-03-23 16:24:52.477660,2023-03-23 16:25:19.054855,0 days 00:00:26.577195,0.7805055904605711,7.312817992570137,5,0.8708132656293078,COMPLETE
17,17,1159.5872802734375,2023-03-23 16:25:19.222525,2023-03-23 16:25:38.258182,0 days 00:00:19.035657,0.9225116172355475,11.40647150228554,8,0.7725032468140218,COMPLETE
18,18,1155.4329833984375,2023-03-23 16:25:38.396776,2023-03-23 16:26:03.171548,0 days 00:00:24.774772,0.8495500233161113,14.873591277246659,7,0.992687363083523,COMPLETE
19,19,1155.0438232421875,2023-03-23 16:26:03.308504,2023-03-23 16:26:22.041791,0 days 00:00:18.733287,0.9285874959980291,14.437946315669196,7,0.960578384367329,COMPLETE
