,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1163.0865478515625,2023-03-23 15:49:59.663928,2023-03-23 15:50:55.319165,0 days 00:00:55.655237,0.982051057156144,17.310661665878065,7.7027582214527985,5,0.5702099288601006,COMPLETE
1,1,1163.88916015625,2023-03-23 15:50:55.466292,2023-03-23 15:51:46.751251,0 days 00:00:51.284959,0.6440067535353562,11.210102552673817,10.785218755504166,8,0.7319562621588084,COMPLETE
2,2,1184.565185546875,2023-03-23 15:51:46.871538,2023-03-23 15:52:31.202236,0 days 00:00:44.330698,0.9877935205539463,2.4058327004418762,16.219106067251843,7,0.6682180671546845,COMPLETE
3,3,1164.10302734375,2023-03-23 15:52:31.338477,2023-03-23 15:53:26.679015,0 days 00:00:55.340538,0.8697144427221897,11.773570547629934,13.124119817277162,8,0.719864362109746,COMPLETE
4,4,1191.336181640625,2023-03-23 15:53:26.800986,2023-03-23 15:54:18.991177,0 days 00:00:52.190191,0.8265342784722965,1.897805679361734,14.882195275329373,8,0.5497348591154345,COMPLETE
5,5,1160.7998046875,2023-03-23 15:54:19.122614,2023-03-23 15:55:06.175543,0 days 00:00:47.052929,0.9073976584992474,16.106369099463983,13.107972155581548,6,0.911774520617644,COMPLETE
6,6,1170.691162109375,2023-03-23 15:55:06.301785,2023-03-23 15:55:54.237199,0 days 00:00:47.935414,0.5211197097453895,10.503159207518532,15.836532507403609,8,0.5469448922028245,COMPLETE
7,7,1170.0933837890625,2023-03-23 15:55:54.362470,2023-03-23 15:56:17.708622,0 days 00:00:23.346152,0.6353192175779119,19.57685707494454,18.381252959422454,4,0.6273203779312866,COMPLETE
8,8,1171.1416015625,2023-03-23 15:56:17.838995,2023-03-23 15:56:40.139408,0 days 00:00:22.300413,0.6287104723423452,7.100032280942651,6.035201492027452,4,0.6227109437210057,COMPLETE
9,9,1160.885986328125,2023-03-23 15:56:40.300472,2023-03-23 15:57:16.920173,0 days 00:00:36.619701,0.5916869127667475,16.7060842072001,12.5074401774074,6,0.8000969215243194,COMPLETE
10,10,1162.0908203125,2023-03-23 15:57:17.038797,2023-03-23 15:57:58.046850,0 days 00:00:41.008053,0.7453279498659323,15.183099198807966,1.0203850503968965,6,0.9588700978559691,COMPLETE
11,11,1164.115478515625,2023-03-23 15:57:58.167741,2023-03-23 15:58:38.111657,0 days 00:00:39.943916,0.8770314829505994,15.191297912977971,19.835448434952866,6,0.8581914136833897,COMPLETE
12,12,1162.704345703125,2023-03-23 15:58:38.239563,2023-03-23 15:59:06.609180,0 days 00:00:28.369617,0.5079359040198334,19.442640757530953,12.064158971141765,5,0.8083748376036718,COMPLETE
13,13,1159.6361083984375,2023-03-23 15:59:06.733313,2023-03-23 15:59:54.204946,0 days 00:00:47.471633,0.7485685176212121,14.814065184808088,9.496055373950455,7,0.9140103377152573,COMPLETE
14,14,1159.218994140625,2023-03-23 15:59:54.326951,2023-03-23 16:00:42.850770,0 days 00:00:48.523819,0.7455510375806533,14.01600527469009,8.755607340804382,7,0.9796159184115523,COMPLETE
15,15,1160.8565673828125,2023-03-23 16:00:42.981721,2023-03-23 16:01:31.743646,0 days 00:00:48.761925,0.7450438424595,13.459149374812657,8.546399672004775,7,0.990678300735317,COMPLETE
16,16,1160.8326416015625,2023-03-23 16:01:31.863243,2023-03-23 16:02:19.102583,0 days 00:00:47.239340,0.714062141586075,13.409462307210346,9.401693306424775,7,0.9327979948852058,COMPLETE
17,17,1161.0628662109375,2023-03-23 16:02:19.225013,2023-03-23 16:03:06.937965,0 days 00:00:47.712952,0.8114957061182941,8.84773966648386,6.2661927995420985,7,0.8828039379952586,COMPLETE
18,18,1160.8460693359375,2023-03-23 16:03:07.059434,2023-03-23 16:03:54.793864,0 days 00:00:47.734430,0.6851103077959898,13.17052181644895,10.258197356527948,7,0.9852949171064095,COMPLETE
19,19,1163.8145751953125,2023-03-23 16:03:54.913771,2023-03-23 16:04:30.341273,0 days 00:00:35.427502,0.796385031375962,8.727792120565386,5.098235365538524,5,0.9976714671469794,COMPLETE
