,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,7198.18994140625,2023-03-23 18:53:07.210501,2023-03-23 18:53:30.540863,0 days 00:00:23.330362,0.7659198333345066,8.58043754259174,14.769203386444868,5,0.828101694267233,COMPLETE
1,1,10178.171875,2023-03-23 18:53:30.711799,2023-03-23 18:53:43.456392,0 days 00:00:12.744593,0.5301816433595721,4.04738571936608,15.422219371117727,5,0.5617017098303119,COMPLETE
2,2,7017.1123046875,2023-03-23 18:53:43.629661,2023-03-23 18:54:03.839365,0 days 00:00:20.209704,0.8483229186055424,8.808875071947401,6.479117674095447,4,0.6930593374444713,COMPLETE
3,3,10794.16015625,2023-03-23 18:54:04.013143,2023-03-23 18:54:13.415387,0 days 00:00:09.402244,0.5682792440082769,2.3042432256074656,12.416186427281488,4,0.7189979468691547,COMPLETE
4,4,6812.67041015625,2023-03-23 18:54:13.585104,2023-03-23 18:54:36.892198,0 days 00:00:23.307094,0.9587154441297103,5.549135998642335,3.7506397106797706,5,0.8580367050944495,COMPLETE
5,5,8555.720703125,2023-03-23 18:54:37.062736,2023-03-23 18:54:58.723924,0 days 00:00:21.661188,0.6822640658485996,3.7163693166086276,16.963281841480573,6,0.979255637262118,COMPLETE
6,6,6408.89794921875,2023-03-23 18:54:58.890343,2023-03-23 18:55:34.762531,0 days 00:00:35.872188,0.522722545344052,12.791063994584775,5.776723192207532,8,0.8977624379408273,COMPLETE
7,7,11267.708984375,2023-03-23 18:55:34.928372,2023-03-23 18:55:43.079536,0 days 00:00:08.151164,0.5576340990511942,1.0586093117941013,6.101668852345023,8,0.653279524503406,COMPLETE
8,8,6321.4775390625,2023-03-23 18:55:43.285220,2023-03-23 18:56:06.361841,0 days 00:00:23.076621,0.9202647691024535,14.515832405061627,2.540523584346264,5,0.8096899496057157,COMPLETE
9,9,6604.740234375,2023-03-23 18:56:06.575835,2023-03-23 18:56:29.465411,0 days 00:00:22.889576,0.9896916822576958,11.589403694091647,10.010466948657504,5,0.9953522782896262,COMPLETE
10,10,6069.23828125,2023-03-23 18:56:29.676717,2023-03-23 18:57:01.364443,0 days 00:00:31.687726,0.8669174153569182,17.9207799797669,2.8289263829051325,7,0.775026004995389,COMPLETE
11,11,6013.7734375,2023-03-23 18:57:01.529696,2023-03-23 18:57:33.070624,0 days 00:00:31.540928,0.8828913315165174,17.66057002036751,1.7468879601297012,7,0.7849584946263019,COMPLETE
12,12,5938.912109375,2023-03-23 18:57:33.233905,2023-03-23 18:58:04.795115,0 days 00:00:31.561210,0.8528756719897383,19.140658740950474,1.3046448646928004,7,0.7727952150800328,COMPLETE
13,13,5928.53076171875,2023-03-23 18:58:04.968004,2023-03-23 18:58:35.952322,0 days 00:00:30.984318,0.8138653101998006,19.9525757204827,1.3461360166643759,7,0.7652703623250898,COMPLETE
14,14,6066.81689453125,2023-03-23 18:58:36.119989,2023-03-23 18:59:09.249161,0 days 00:00:33.129172,0.7861868438390921,19.843727564452173,1.7626274089483442,7,0.6323376874297144,COMPLETE
15,15,6141.51806640625,2023-03-23 18:59:09.414861,2023-03-23 18:59:36.564646,0 days 00:00:27.149785,0.806980054904875,15.874173461564002,1.2228854206918989,6,0.7359515468920781,COMPLETE
16,16,7024.22412109375,2023-03-23 18:59:36.777631,2023-03-23 19:00:14.552375,0 days 00:00:37.774744,0.6897229240636609,19.852376756156968,19.471338369961842,7,0.5215722364548168,COMPLETE
17,17,6171.54443359375,2023-03-23 19:00:14.724794,2023-03-23 19:00:51.613605,0 days 00:00:36.888811,0.8297749720857897,15.36382231370091,4.628431234924806,8,0.7498582486974581,COMPLETE
18,18,6287.984375,2023-03-23 19:00:51.791904,2023-03-23 19:01:18.508731,0 days 00:00:26.716827,0.9321086107176152,17.711170886937353,7.410385946231205,6,0.8825755356234877,COMPLETE
19,19,6539.673828125,2023-03-23 19:01:18.682198,2023-03-23 19:01:52.430202,0 days 00:00:33.748004,0.729463283218744,13.860167205857756,8.36242581754513,7,0.6915770395188008,COMPLETE
