,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,8368.3544921875,2023-03-23 19:18:39.890174,2023-03-23 19:19:10.736590,0 days 00:00:30.846416,0.8734140140659654,5.679549528025065,8,0.9721890109588978,COMPLETE
1,1,10562.4150390625,2023-03-23 19:19:10.902168,2023-03-23 19:19:32.825341,0 days 00:00:21.923173,0.8505331245830052,17.679730351380353,6,0.7945266028380576,COMPLETE
2,2,10142.24609375,2023-03-23 19:19:32.985391,2023-03-23 19:19:55.223650,0 days 00:00:22.238259,0.9777369498760632,17.469280322251564,5,0.953951259927007,COMPLETE
3,3,10473.92578125,2023-03-23 19:19:55.446838,2023-03-23 19:20:12.015502,0 days 00:00:16.568664,0.9632909178008892,13.000534705989914,4,0.6540457729422652,COMPLETE
4,4,8852.84765625,2023-03-23 19:20:12.173883,2023-03-23 19:20:38.806437,0 days 00:00:26.632554,0.6881755302836716,5.766048523535012,8,0.8508201036238477,COMPLETE
5,5,10821.8662109375,2023-03-23 19:20:38.960783,2023-03-23 19:20:54.462381,0 days 00:00:15.501598,0.9270661195779795,15.09668820283639,4,0.5670075930757641,COMPLETE
6,6,9714.810546875,2023-03-23 19:20:54.617732,2023-03-23 19:21:11.776555,0 days 00:00:17.158823,0.7728699899942824,7.980852419021735,4,0.7377178143785755,COMPLETE
7,7,9791.41015625,2023-03-23 19:21:11.931668,2023-03-23 19:21:29.595100,0 days 00:00:17.663432,0.8362108444949393,5.255200172609465,7,0.5523552163034977,COMPLETE
8,8,8951.4013671875,2023-03-23 19:21:29.747230,2023-03-23 19:21:52.487834,0 days 00:00:22.740604,0.724804343555841,5.208162801746801,6,0.7718181262898367,COMPLETE
9,9,10060.8251953125,2023-03-23 19:21:52.648186,2023-03-23 19:22:13.704660,0 days 00:00:21.056474,0.9590349855330516,13.745916210955325,5,0.8441493361852157,COMPLETE
10,10,7108.5263671875,2023-03-23 19:22:13.859690,2023-03-23 19:22:46.743185,0 days 00:00:32.883495,0.5623880510296531,1.1732590110114387,8,0.9948262540857238,COMPLETE
11,11,7005.564453125,2023-03-23 19:22:46.906459,2023-03-23 19:23:20.120149,0 days 00:00:33.213690,0.5375156146991712,1.0266461528216446,8,0.997676251344049,COMPLETE
12,12,7324.34033203125,2023-03-23 19:23:20.278342,2023-03-23 19:23:49.897938,0 days 00:00:29.619596,0.5263314861174178,1.5771868361766919,7,0.9914775474239906,COMPLETE
13,13,7510.2705078125,2023-03-23 19:23:50.054289,2023-03-23 19:24:20.832502,0 days 00:00:30.778213,0.5016957092766205,1.702059225569596,8,0.9154738184078224,COMPLETE
14,14,7152.7392578125,2023-03-23 19:24:20.984327,2023-03-23 19:24:51.259565,0 days 00:00:30.275238,0.5913262784206772,1.4030513891717096,7,0.99565369151997,COMPLETE
15,15,9803.5830078125,2023-03-23 19:24:51.413973,2023-03-23 19:25:17.368960,0 days 00:00:25.954987,0.6145637031434477,9.53740310836721,8,0.9160759414200335,COMPLETE
16,16,8179.5673828125,2023-03-23 19:25:17.524267,2023-03-23 19:25:45.097904,0 days 00:00:27.573637,0.5747627909836828,3.490980080010236,7,0.9045878800826259,COMPLETE
17,17,8265.94140625,2023-03-23 19:25:45.297146,2023-03-23 19:26:12.773615,0 days 00:00:27.476469,0.644768140282292,3.671731711391651,8,0.8670063350656478,COMPLETE
18,18,9547.6767578125,2023-03-23 19:26:12.931053,2023-03-23 19:26:37.137736,0 days 00:00:24.206683,0.5512746023670199,8.604794942088901,6,0.9381114815372074,COMPLETE
19,19,6887.91796875,2023-03-23 19:26:37.309723,2023-03-23 19:27:07.828340,0 days 00:00:30.518617,0.6486609988313123,1.0288626683217004,7,0.9953925467913949,COMPLETE
