,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,12691.595703125,2023-03-23 19:06:56.893304,2023-03-23 19:07:29.339071,0 days 00:00:32.445767,0.8143553935878483,16.786322571814484,7,0.8675025347927475,COMPLETE
1,1,12698.798828125,2023-03-23 19:07:29.508006,2023-03-23 19:07:52.109249,0 days 00:00:22.601243,0.7006537007396695,18.125037686327985,5,0.880132598216558,COMPLETE
2,2,12695.9814453125,2023-03-23 19:07:52.272092,2023-03-23 19:08:14.775556,0 days 00:00:22.503464,0.8916043804793976,16.302124900319583,5,0.787882087025793,COMPLETE
3,3,12696.888671875,2023-03-23 19:08:14.936279,2023-03-23 19:08:47.031702,0 days 00:00:32.095423,0.5339201909200411,3.57550259608895,7,0.8355060342999145,COMPLETE
4,4,12693.052734375,2023-03-23 19:08:47.228014,2023-03-23 19:09:20.414999,0 days 00:00:33.186985,0.7626707881229351,1.0582457029190186,6,0.5159376258543529,COMPLETE
5,5,12700.8603515625,2023-03-23 19:09:20.581257,2023-03-23 19:09:40.583193,0 days 00:00:20.001936,0.7753227227258715,7.847273729886863,4,0.6701030934994422,COMPLETE
6,6,12692.4951171875,2023-03-23 19:09:40.753515,2023-03-23 19:10:13.306412,0 days 00:00:32.552897,0.7759969126335242,15.755552063781765,7,0.9154298106308527,COMPLETE
7,7,12694.982421875,2023-03-23 19:10:13.470895,2023-03-23 19:10:36.111405,0 days 00:00:22.640510,0.8842623710504882,4.249691968624591,5,0.8641378389359984,COMPLETE
8,8,12693.7412109375,2023-03-23 19:10:36.290330,2023-03-23 19:11:03.516574,0 days 00:00:27.226244,0.8411820244758108,19.301323736972936,6,0.9044269371375906,COMPLETE
9,9,12692.0478515625,2023-03-23 19:11:03.674968,2023-03-23 19:11:41.826263,0 days 00:00:38.151295,0.7066849057179976,13.018183194263182,8,0.9792443639448121,COMPLETE
10,10,12687.6787109375,2023-03-23 19:11:41.997433,2023-03-23 19:12:22.164811,0 days 00:00:40.167378,0.981673346452548,10.766640820760585,8,0.7090835373943223,COMPLETE
11,11,12687.96875,2023-03-23 19:12:22.327859,2023-03-23 19:13:01.504164,0 days 00:00:39.176305,0.9897115899788201,12.197086266895475,8,0.7228066434314602,COMPLETE
12,12,12687.6298828125,2023-03-23 19:13:01.664134,2023-03-23 19:13:42.156494,0 days 00:00:40.492360,0.981418540104305,10.549346302046997,8,0.7076770942552209,COMPLETE
13,13,12687.7919921875,2023-03-23 19:13:42.322788,2023-03-23 19:14:24.390570,0 days 00:00:42.067782,0.9832593936198212,9.885970194452526,8,0.6540200052185376,COMPLETE
14,14,12687.009765625,2023-03-23 19:14:24.550550,2023-03-23 19:15:03.667649,0 days 00:00:39.117099,0.9949455906882833,9.061487832093055,8,0.7446408086509652,COMPLETE
15,15,12689.3759765625,2023-03-23 19:15:03.831747,2023-03-23 19:15:35.766542,0 days 00:00:31.934795,0.9271325158318204,8.602022809213354,7,0.7760780736049862,COMPLETE
16,16,12688.0654296875,2023-03-23 19:15:35.917233,2023-03-23 19:16:18.994798,0 days 00:00:43.077565,0.9265715311995835,6.930511175831077,8,0.6245179457980216,COMPLETE
17,17,12689.3076171875,2023-03-23 19:16:19.147083,2023-03-23 19:16:51.394644,0 days 00:00:32.247561,0.9899490949737972,13.43478143392818,7,0.774394901049343,COMPLETE
18,18,12691.85546875,2023-03-23 19:16:51.552005,2023-03-23 19:17:21.310857,0 days 00:00:29.758852,0.9376691192988122,10.138806585513388,6,0.5781951535530343,COMPLETE
19,19,12688.361328125,2023-03-23 19:17:21.459945,2023-03-23 19:18:01.504495,0 days 00:00:40.044550,0.8716651407023427,6.025795237253687,8,0.7248313557685556,COMPLETE
