,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,6222.6142578125,2023-03-23 19:02:24.199204,2023-03-23 19:02:38.962447,0 days 00:00:14.763243,0.5738027124157208,18.26429185649313,4,0.6100186529563282,COMPLETE
1,1,6179.5263671875,2023-03-23 19:02:39.132510,2023-03-23 19:02:48.473580,0 days 00:00:09.341070,0.5166760121792646,12.765825244311886,4,0.8751054941168059,COMPLETE
2,2,5689.80419921875,2023-03-23 19:02:48.640323,2023-03-23 19:02:58.440407,0 days 00:00:09.800084,0.9877297350205048,12.778943473405391,6,0.9687128636376442,COMPLETE
3,3,5928.96533203125,2023-03-23 19:02:58.613986,2023-03-23 19:03:12.008196,0 days 00:00:13.394210,0.5965968023392678,13.114338565146895,5,0.9971322413098161,COMPLETE
4,4,6199.8076171875,2023-03-23 19:03:12.183883,2023-03-23 19:03:22.685810,0 days 00:00:10.501927,0.5380003085280451,11.191279256962103,4,0.9985824317979586,COMPLETE
5,5,5853.25537109375,2023-03-23 19:03:22.858244,2023-03-23 19:03:37.853592,0 days 00:00:14.995348,0.5183410653038775,4.2072923248321406,5,0.9019940877661234,COMPLETE
6,6,5922.4814453125,2023-03-23 19:03:38.021610,2023-03-23 19:03:47.192356,0 days 00:00:09.170746,0.8075750160663824,10.956790083118884,5,0.9281307460708559,COMPLETE
7,7,5649.74462890625,2023-03-23 19:03:47.362807,2023-03-23 19:03:59.475135,0 days 00:00:12.112328,0.6675125877176027,14.144094110807107,7,0.5504864876436741,COMPLETE
8,8,5933.46728515625,2023-03-23 19:03:59.643358,2023-03-23 19:04:10.441379,0 days 00:00:10.798021,0.7583537684558356,1.2117430127719673,5,0.6402318986702756,COMPLETE
9,9,6207.638671875,2023-03-23 19:04:10.612155,2023-03-23 19:04:16.542428,0 days 00:00:05.930273,0.8534632984868105,3.054681935703761,4,0.5901987669356576,COMPLETE
10,10,5630.591796875,2023-03-23 19:04:16.713845,2023-03-23 19:04:31.528866,0 days 00:00:14.815021,0.6822776828050342,19.249631765487194,8,0.5011573517105854,COMPLETE
11,11,5584.58935546875,2023-03-23 19:04:31.703461,2023-03-23 19:04:48.157996,0 days 00:00:16.454535,0.6523382233157717,19.958368073955363,8,0.500672736846424,COMPLETE
12,12,5619.37451171875,2023-03-23 19:04:48.331991,2023-03-23 19:05:02.218737,0 days 00:00:13.886746,0.6632269988207566,19.833057353098265,8,0.5000612467119552,COMPLETE
13,13,5629.80615234375,2023-03-23 19:05:02.383147,2023-03-23 19:05:19.309478,0 days 00:00:16.926331,0.6428325844886941,19.777633246008772,8,0.5026650683415184,COMPLETE
14,14,5606.50439453125,2023-03-23 19:05:19.488408,2023-03-23 19:05:33.518664,0 days 00:00:14.030256,0.7033670953862803,16.50110551464628,7,0.7093202035868016,COMPLETE
15,15,5628.58203125,2023-03-23 19:05:33.693315,2023-03-23 19:05:47.630526,0 days 00:00:13.937211,0.7248567607672187,16.51897098118129,7,0.7084127576045067,COMPLETE
16,16,5568.67626953125,2023-03-23 19:05:47.803842,2023-03-23 19:06:02.431537,0 days 00:00:14.627695,0.6057621529895364,17.220582940487716,7,0.7868892661255951,COMPLETE
17,17,5637.2880859375,2023-03-23 19:06:02.644285,2023-03-23 19:06:16.410808,0 days 00:00:13.766523,0.6018234343743406,16.2926688344591,7,0.8092491897794024,COMPLETE
18,18,5754.556640625,2023-03-23 19:06:16.581964,2023-03-23 19:06:31.670461,0 days 00:00:15.088497,0.6204812370451903,17.731605314521524,6,0.7960912060493572,COMPLETE
19,19,5632.78173828125,2023-03-23 19:06:31.836326,2023-03-23 19:06:43.234921,0 days 00:00:11.398595,0.5603367256279795,14.991316124217667,7,0.6642150187546934,COMPLETE
