,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,8389.3310546875,2023-03-23 18:42:49.138806,2023-03-23 18:43:12.667382,0 days 00:00:23.528576,0.7427223886421688,2.6926787041915903,17.04984953174644,5,0.7705848954499547,COMPLETE
1,1,7915.21240234375,2023-03-23 18:43:12.835547,2023-03-23 18:43:51.968679,0 days 00:00:39.133132,0.7884291452038272,2.4620706914008057,8.338346853764152,8,0.6240718361839109,COMPLETE
2,2,6354.59765625,2023-03-23 18:43:52.189621,2023-03-23 18:44:27.716493,0 days 00:00:35.526872,0.7201196808418582,18.631465655919794,10.811410868127993,7,0.5788772784471875,COMPLETE
3,3,6586.1015625,2023-03-23 18:44:27.873956,2023-03-23 18:45:08.877918,0 days 00:00:41.003962,0.8953415509430378,9.920717824387012,10.416210229046278,8,0.593600367433031,COMPLETE
4,4,6813.16162109375,2023-03-23 18:45:09.043111,2023-03-23 18:45:30.166217,0 days 00:00:21.123106,0.6819038759508571,19.785958291855955,16.56121081080026,4,0.5456403015689724,COMPLETE
5,5,6801.025390625,2023-03-23 18:45:30.326185,2023-03-23 18:45:50.127334,0 days 00:00:19.801149,0.6201698370326185,10.65333818603763,10.42315381586335,4,0.8344002855050807,COMPLETE
6,6,9297.4736328125,2023-03-23 18:45:50.293547,2023-03-23 18:46:27.473020,0 days 00:00:37.179473,0.8827620933164086,2.1516957628324835,17.52358153489917,8,0.7138832271354938,COMPLETE
7,7,6120.46630859375,2023-03-23 18:46:27.646716,2023-03-23 18:46:53.859567,0 days 00:00:26.212851,0.6593602619345267,11.645702971843304,1.112604824619313,5,0.5089440487207938,COMPLETE
8,8,6400.5625,2023-03-23 18:46:54.020425,2023-03-23 18:47:13.716108,0 days 00:00:19.695683,0.7503372704446013,17.262714482824077,5.279163179322305,4,0.7613302507118535,COMPLETE
9,9,6536.14306640625,2023-03-23 18:47:13.883364,2023-03-23 18:47:37.575846,0 days 00:00:23.692482,0.5513181255478676,19.235577516316614,14.425523029881653,5,0.8438236978690171,COMPLETE
10,10,5858.20361328125,2023-03-23 18:47:37.747071,2023-03-23 18:48:07.911206,0 days 00:00:30.164135,0.5028488192752589,12.92035190882506,1.1124957050951836,6,0.9485872239902005,COMPLETE
11,11,5906.095703125,2023-03-23 18:48:08.074979,2023-03-23 18:48:35.831556,0 days 00:00:27.756577,0.5009628299930223,12.968625149627538,1.5907992177360666,6,0.971185143072408,COMPLETE
12,12,5964.6162109375,2023-03-23 18:48:35.998611,2023-03-23 18:49:05.011917,0 days 00:00:29.013306,0.5180756887367037,14.439655820215862,2.1368750143071376,6,0.9908607570476056,COMPLETE
13,13,6128.4560546875,2023-03-23 18:49:05.174700,2023-03-23 18:49:32.961784,0 days 00:00:27.787084,0.5085689890619394,13.933662698429599,3.931514274384063,6,0.9632090305308627,COMPLETE
14,14,5896.953125,2023-03-23 18:49:33.132804,2023-03-23 18:50:05.408079,0 days 00:00:32.275275,0.5805793429036692,7.828091802441787,1.083060446101399,7,0.9183150915442359,COMPLETE
15,15,6310.5517578125,2023-03-23 18:50:05.571536,2023-03-23 18:50:37.274998,0 days 00:00:31.703462,0.5849506284322389,7.9490546801577135,4.852434675761263,7,0.9236631340426779,COMPLETE
16,16,6518.5029296875,2023-03-23 18:50:37.442556,2023-03-23 18:51:09.451378,0 days 00:00:32.008822,0.591466795308125,7.351694506633,6.488627060750622,7,0.9123756397880262,COMPLETE
17,17,6403.42431640625,2023-03-23 18:51:09.621971,2023-03-23 18:51:40.997179,0 days 00:00:31.375208,0.5574436887444425,5.906998792810389,3.1773806314863284,7,0.8924081169013643,COMPLETE
18,18,5881.48291015625,2023-03-23 18:51:41.165263,2023-03-23 18:52:12.819514,0 days 00:00:31.654251,0.6212856667984753,15.983338490326517,3.038207110171058,7,0.99248042260298,COMPLETE
19,19,5931.41259765625,2023-03-23 18:52:13.039085,2023-03-23 18:52:40.109928,0 days 00:00:27.070843,0.6354341631555224,16.048463199362462,3.712167584924194,6,0.9979653343419012,COMPLETE
