,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,57765.48828125,2023-03-26 12:39:32.345175,2023-03-26 12:39:41.939346,0 days 00:00:09.594171,0.7733566708693093,19.009610134491936,11.255888845206309,8,0.8392969442592352,COMPLETE
1,1,57891.96484375,2023-03-26 12:39:42.105027,2023-03-26 12:39:47.748974,0 days 00:00:05.643947,0.9294011585452628,18.243783822258028,7.186488155177408,4,0.7628243596533046,COMPLETE
2,2,58083.953125,2023-03-26 12:39:47.901433,2023-03-26 12:39:54.575687,0 days 00:00:06.674254,0.6138920478755197,14.031223100933572,4.421307257265282,8,0.6014375836433095,COMPLETE
3,3,58337.73828125,2023-03-26 12:39:54.726916,2023-03-26 12:40:02.173174,0 days 00:00:07.446258,0.5419053253600749,11.766970675407979,17.796034215620868,7,0.7633542131436482,COMPLETE
4,4,58417.078125,2023-03-26 12:40:02.313899,2023-03-26 12:40:10.330726,0 days 00:00:08.016827,0.6122782669800177,13.480164100919833,19.833253944754947,6,0.6471673542951714,COMPLETE
5,5,58372.58984375,2023-03-26 12:40:10.484947,2023-03-26 12:40:18.543713,0 days 00:00:08.058766,0.5019149963860614,8.223695289974732,10.577908932225801,7,0.6803705425086537,COMPLETE
6,6,58083.6328125,2023-03-26 12:40:18.734944,2023-03-26 12:40:26.065564,0 days 00:00:07.330620,0.7658735260381151,16.16915687896219,8.814241127092096,5,0.5193149014698374,COMPLETE
7,7,58875.5625,2023-03-26 12:40:26.204642,2023-03-26 12:40:34.081261,0 days 00:00:07.876619,0.514025270593498,4.914961147061561,19.540855977712205,5,0.8233240103538111,COMPLETE
8,8,58142.2734375,2023-03-26 12:40:34.222954,2023-03-26 12:40:41.641632,0 days 00:00:07.418678,0.6507894665673846,16.987452116015284,12.383950870077252,6,0.5944787363860549,COMPLETE
9,9,58215.15234375,2023-03-26 12:40:41.821186,2023-03-26 12:40:49.994287,0 days 00:00:08.173101,0.8285460758267718,8.020141442825118,7.927725442848033,8,0.8338395222895221,COMPLETE
10,10,57233.3515625,2023-03-26 12:40:50.134559,2023-03-26 12:40:52.111554,0 days 00:00:01.976995,0.9821843290160716,19.482478434553137,1.6574558075220303,7,0.9967226473735366,COMPLETE
11,11,57235.40234375,2023-03-26 12:40:52.251082,2023-03-26 12:40:54.271199,0 days 00:00:02.020117,0.998244346503168,19.76661315275822,1.4149889197348404,7,0.9925832862486609,COMPLETE
12,12,57250.484375,2023-03-26 12:40:54.450230,2023-03-26 12:40:56.125845,0 days 00:00:01.675615,0.9934301884424156,19.585323263695212,1.061953000763677,7,0.9985004522611571,COMPLETE
13,13,57514.03125,2023-03-26 12:40:56.315885,2023-03-26 12:40:58.113400,0 days 00:00:01.797515,0.999810331490321,15.87875962281314,1.0747705766094093,7,0.9988678163335255,COMPLETE
14,14,57575.76171875,2023-03-26 12:40:58.251183,2023-03-26 12:41:01.260521,0 days 00:00:03.009338,0.8893415590659299,19.987435277743007,4.067582031781261,6,0.9392966230938208,COMPLETE
15,15,57844.0625,2023-03-26 12:41:01.399377,2023-03-26 12:41:04.916407,0 days 00:00:03.517030,0.9190337799585204,16.430349050305345,3.765690806104672,7,0.9129099995308912,COMPLETE
16,16,58197.453125,2023-03-26 12:41:05.061111,2023-03-26 12:41:13.099624,0 days 00:00:08.038513,0.8562558142709427,1.5386994929426496,1.145936729669402,5,0.929789062891893,COMPLETE
17,17,57907.48046875,2023-03-26 12:41:13.238064,2023-03-26 12:41:18.099864,0 days 00:00:04.861800,0.9562237232498692,17.485150201463473,5.88546034849332,8,0.8985268253689787,COMPLETE
18,18,57527.8359375,2023-03-26 12:41:18.242601,2023-03-26 12:41:21.601737,0 days 00:00:03.359136,0.9608781742482038,19.91475268192561,3.17132574260219,6,0.996780349501348,COMPLETE
19,19,57915.8203125,2023-03-26 12:41:21.744622,2023-03-26 12:41:27.153982,0 days 00:00:05.409360,0.8765444519762575,14.048520482558924,5.825483069199582,7,0.8789656850149747,COMPLETE
