,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,59352.09765625,2023-03-26 12:55:43.182741,2023-03-26 12:55:51.882066,0 days 00:00:08.699325,0.6132102077335488,10.367633789218209,8,0.5129007735092679,COMPLETE
1,1,59409.3515625,2023-03-26 12:55:52.024359,2023-03-26 12:55:59.258377,0 days 00:00:07.234018,0.6286053668698278,16.270839219042067,6,0.5837376326337351,COMPLETE
2,2,58828.27734375,2023-03-26 12:55:59.436523,2023-03-26 12:56:07.081191,0 days 00:00:07.644668,0.5546605444883275,4.116462171544772,6,0.8615955479341699,COMPLETE
3,3,59300.3046875,2023-03-26 12:56:07.228733,2023-03-26 12:56:15.088797,0 days 00:00:07.860064,0.9335977897774879,11.647843714061203,7,0.7142778769575381,COMPLETE
4,4,59220.3671875,2023-03-26 12:56:15.228174,2023-03-26 12:56:22.358020,0 days 00:00:07.129846,0.6762940970573683,8.985657241858007,5,0.748619640196662,COMPLETE
5,5,58356.37890625,2023-03-26 12:56:22.504512,2023-03-26 12:56:30.194214,0 days 00:00:07.689702,0.9364303673470905,1.0960479078475567,5,0.5929604165332656,COMPLETE
6,6,59406.12890625,2023-03-26 12:56:30.336368,2023-03-26 12:56:37.633949,0 days 00:00:07.297581,0.5067045544174815,15.54704856969988,4,0.5676440034327408,COMPLETE
7,7,59195.015625,2023-03-26 12:56:37.817608,2023-03-26 12:56:45.355022,0 days 00:00:07.537414,0.6006772431625154,6.415871409706604,6,0.5949193989147379,COMPLETE
8,8,58962.75390625,2023-03-26 12:56:45.510490,2023-03-26 12:56:53.638168,0 days 00:00:08.127678,0.8425094058188212,5.963049848726041,8,0.9287448786468493,COMPLETE
9,9,59087.765625,2023-03-26 12:56:53.792409,2023-03-26 12:57:00.851055,0 days 00:00:07.058646,0.7253533546757998,6.578174641731622,5,0.7969556141019905,COMPLETE
10,10,58337.87890625,2023-03-26 12:57:00.993229,2023-03-26 12:57:08.640044,0 days 00:00:07.646815,0.9999444576216644,1.2153785744076213,4,0.6597859407875908,COMPLETE
11,11,58388.6328125,2023-03-26 12:57:08.781525,2023-03-26 12:57:16.452597,0 days 00:00:07.671072,0.9832102541354433,1.3958299354348598,4,0.6661157813520103,COMPLETE
12,12,58269.71875,2023-03-26 12:57:16.646744,2023-03-26 12:57:23.879268,0 days 00:00:07.232524,0.8742694344042196,1.019950083221511,5,0.6583386980909474,COMPLETE
13,13,58772.91015625,2023-03-26 12:57:24.023397,2023-03-26 12:57:31.719035,0 days 00:00:07.695638,0.843445838712141,2.8986045119676556,4,0.6922070504326985,COMPLETE
14,14,58898.2734375,2023-03-26 12:57:31.863936,2023-03-26 12:57:38.924278,0 days 00:00:07.060342,0.848701646585445,3.413963361529502,5,0.6597021839367564,COMPLETE
15,15,58227.4453125,2023-03-26 12:57:39.067871,2023-03-26 12:57:46.840316,0 days 00:00:07.772445,0.9830371213749545,1.0904486697360447,4,0.7860821267781674,COMPLETE
16,16,59387.39453125,2023-03-26 12:57:46.988843,2023-03-26 12:57:54.851465,0 days 00:00:07.862622,0.7917986675850744,19.799361656830875,5,0.7993262256265959,COMPLETE
17,17,58809.01171875,2023-03-26 12:57:54.996699,2023-03-26 12:58:02.258807,0 days 00:00:07.262108,0.8833560901727807,4.731761551216733,7,0.9860754946689247,COMPLETE
18,18,58750.8671875,2023-03-26 12:58:02.409437,2023-03-26 12:58:10.154160,0 days 00:00:07.744723,0.7712365426742376,3.3089893056083346,4,0.7983831907836876,COMPLETE
19,19,59168.28125,2023-03-26 12:58:10.292881,2023-03-26 12:58:17.591010,0 days 00:00:07.298129,0.9069696387963965,7.749533810622066,5,0.732588983934958,COMPLETE
