,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,59513.5703125,2023-03-26 12:44:42.196769,2023-03-26 12:45:11.030876,0 days 00:00:28.834107,0.6133365932938264,7.752601923554909,5,0.587810134598485,COMPLETE
1,1,59511.73046875,2023-03-26 12:45:11.171954,2023-03-26 12:45:51.892494,0 days 00:00:40.720540,0.8130890164835888,7.308704775149909,7,0.9901484214628482,COMPLETE
2,2,59516.6484375,2023-03-26 12:45:52.080663,2023-03-26 12:46:26.392510,0 days 00:00:34.311847,0.6880025962281737,12.982880389533232,6,0.6026153076245413,COMPLETE
3,3,59509.04296875,2023-03-26 12:46:26.531454,2023-03-26 12:46:50.203905,0 days 00:00:23.672451,0.8168076273163911,13.659993249981932,4,0.9533971165995054,COMPLETE
4,4,59508.80859375,2023-03-26 12:46:50.336558,2023-03-26 12:47:14.013979,0 days 00:00:23.677421,0.9508952165198767,9.402465465624068,4,0.8545178606052204,COMPLETE
5,5,59510.109375,2023-03-26 12:47:14.150349,2023-03-26 12:47:43.087928,0 days 00:00:28.937579,0.9978073028006487,7.036154407891734,5,0.6585415878645424,COMPLETE
6,6,59518.8125,2023-03-26 12:47:43.221345,2023-03-26 12:48:23.091912,0 days 00:00:39.870567,0.6073222063619237,10.540328459361055,7,0.5709108644135835,COMPLETE
7,7,59509.375,2023-03-26 12:48:23.229885,2023-03-26 12:48:46.833371,0 days 00:00:23.603486,0.6816953378206935,4.540613751220473,4,0.9748978019402836,COMPLETE
8,8,59511.69921875,2023-03-26 12:48:47.011029,2023-03-26 12:49:10.114854,0 days 00:00:23.103825,0.7466683253767805,13.585944609084146,4,0.6422925634606691,COMPLETE
9,9,59512.8203125,2023-03-26 12:49:10.314519,2023-03-26 12:49:45.493670,0 days 00:00:35.179151,0.5067150815298778,7.113173434301304,6,0.9477191121361321,COMPLETE
10,10,59516.49609375,2023-03-26 12:49:45.631369,2023-03-26 12:50:32.019352,0 days 00:00:46.387983,0.9974329054391232,19.073860235063517,8,0.8074726248579971,COMPLETE
11,11,59509.42578125,2023-03-26 12:50:32.153252,2023-03-26 12:50:55.935183,0 days 00:00:23.781931,0.8485620168769279,14.846667479867227,4,0.8601807910597813,COMPLETE
12,12,59507.6484375,2023-03-26 12:50:56.081948,2023-03-26 12:51:25.061245,0 days 00:00:28.979297,0.889783839997574,3.522989906616015,5,0.8851162989335519,COMPLETE
13,13,59507.2734375,2023-03-26 12:51:25.198576,2023-03-26 12:51:55.091434,0 days 00:00:29.892858,0.9236889714228038,2.352376555330111,5,0.8553157168564655,COMPLETE
14,14,59507.67578125,2023-03-26 12:51:55.229215,2023-03-26 12:52:24.365124,0 days 00:00:29.135909,0.9074456263691346,1.565273047470848,5,0.7461082683475775,COMPLETE
15,15,59509.55859375,2023-03-26 12:52:24.513967,2023-03-26 12:52:52.681732,0 days 00:00:28.167765,0.9062814237416854,1.4044069107465447,5,0.5004994636222546,COMPLETE
16,16,59509.65625,2023-03-26 12:52:52.823323,2023-03-26 12:53:28.244953,0 days 00:00:35.421630,0.8814636055252607,4.265778779818468,6,0.8905569495022359,COMPLETE
17,17,59508.1640625,2023-03-26 12:53:28.378141,2023-03-26 12:53:58.126733,0 days 00:00:29.748592,0.9444078232386433,3.6201295451016904,5,0.7770064703218825,COMPLETE
18,18,59508.76953125,2023-03-26 12:53:58.263869,2023-03-26 12:54:38.885520,0 days 00:00:40.621651,0.8517891119369471,2.7878873398134743,7,0.9133031142969653,COMPLETE
19,19,59510.76953125,2023-03-26 12:54:39.037385,2023-03-26 12:55:14.112758,0 days 00:00:35.075373,0.7945890334834462,5.208960968696573,6,0.8349724147014616,COMPLETE
