,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,16914.80078125,2023-03-26 12:41:29.259463,2023-03-26 12:41:40.874628,0 days 00:00:11.615165,0.9240196026881893,10.710187254740903,7,0.9794942958197091,COMPLETE
1,1,15204.482421875,2023-03-26 12:41:41.013286,2023-03-26 12:41:54.066146,0 days 00:00:13.052860,0.588876761759652,17.5224399393825,7,0.8030765606584802,COMPLETE
2,2,15660.61328125,2023-03-26 12:41:54.209326,2023-03-26 12:42:12.617140,0 days 00:00:18.407814,0.6553172863653043,19.095481752492454,7,0.9216977265759011,COMPLETE
3,3,15559.8359375,2023-03-26 12:42:12.753729,2023-03-26 12:42:24.841639,0 days 00:00:12.087910,0.5298409541672885,8.80440726936551,7,0.8706326295365412,COMPLETE
4,4,14891.666015625,2023-03-26 12:42:24.979601,2023-03-26 12:42:32.781007,0 days 00:00:07.801406,0.9192906316996318,19.424248289177278,5,0.7702735539268291,COMPLETE
5,5,15672.162109375,2023-03-26 12:42:32.917553,2023-03-26 12:42:43.619495,0 days 00:00:10.701942,0.7423492298816365,8.311406982827556,7,0.8819647890090322,COMPLETE
6,6,15820.9951171875,2023-03-26 12:42:43.760308,2023-03-26 12:42:49.566215,0 days 00:00:05.805907,0.649202233348785,2.933560406845223,5,0.6104068949693413,COMPLETE
7,7,15089.3798828125,2023-03-26 12:42:49.702554,2023-03-26 12:42:55.280327,0 days 00:00:05.577773,0.8676218611130768,2.5320122068075657,8,0.5425654950474332,COMPLETE
8,8,15556.1552734375,2023-03-26 12:42:55.418712,2023-03-26 12:43:02.747206,0 days 00:00:07.328494,0.6047770688399493,14.240925134592027,5,0.8500457901811154,COMPLETE
9,9,15399.0,2023-03-26 12:43:02.887493,2023-03-26 12:43:13.842644,0 days 00:00:10.955151,0.5925737482006794,11.995056767361016,6,0.8981318970235552,COMPLETE
10,10,14994.24609375,2023-03-26 12:43:13.982181,2023-03-26 12:43:21.957014,0 days 00:00:07.974833,0.9963145345538045,19.65830024185268,4,0.7142087259349087,COMPLETE
11,11,14999.4169921875,2023-03-26 12:43:22.091381,2023-03-26 12:43:29.701240,0 days 00:00:07.609859,0.9969449522899169,19.99941110428302,4,0.7140712580021802,COMPLETE
12,12,14883.1640625,2023-03-26 12:43:29.844403,2023-03-26 12:43:37.498578,0 days 00:00:07.654175,0.9997250882204609,17.137395178693403,4,0.7455257171198161,COMPLETE
13,13,14580.8994140625,2023-03-26 12:43:37.699406,2023-03-26 12:43:44.150177,0 days 00:00:06.450771,0.8738928099937594,16.653574294370266,5,0.7658008632606211,COMPLETE
14,14,15193.5,2023-03-26 12:43:44.294761,2023-03-26 12:43:51.239205,0 days 00:00:06.944444,0.81817172946513,15.59404352117832,4,0.6828917310920697,COMPLETE
15,15,15046.767578125,2023-03-26 12:43:51.381613,2023-03-26 12:43:58.915344,0 days 00:00:07.533731,0.8050709869649928,16.246304205197564,5,0.7997896193944344,COMPLETE
16,16,15501.224609375,2023-03-26 12:43:59.051555,2023-03-26 12:44:08.673291,0 days 00:00:09.621736,0.931797192792671,14.28081682625878,6,0.6489149356299481,COMPLETE
17,17,14702.271484375,2023-03-26 12:44:08.812193,2023-03-26 12:44:15.734640,0 days 00:00:06.922447,0.880261348403427,17.26754946496703,4,0.7417941086195076,COMPLETE
18,18,15339.3955078125,2023-03-26 12:44:15.871263,2023-03-26 12:44:25.014149,0 days 00:00:09.142886,0.749676597017625,13.84157531401101,6,0.8079610598048594,COMPLETE
19,19,15061.8857421875,2023-03-26 12:44:25.159842,2023-03-26 12:44:34.961116,0 days 00:00:09.801274,0.8585897858467811,17.038667499416547,5,0.6293524481066236,COMPLETE
