,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,46816.0703125,2023-03-26 12:29:28.056633,2023-03-26 12:29:49.198349,0 days 00:00:21.141716,0.5779952313009692,7.697268115050623,8.037165135889325,4,0.8503058952091653,COMPLETE
1,1,56447.19921875,2023-03-26 12:29:49.348225,2023-03-26 12:30:23.864406,0 days 00:00:34.516181,0.7754353054834682,3.114865137543923,18.950207929970198,7,0.972490144086898,COMPLETE
2,2,37761.7734375,2023-03-26 12:30:24.010927,2023-03-26 12:30:47.164786,0 days 00:00:23.153859,0.5451888415004013,5.326371582465179,2.2520645204095935,5,0.8283545322180143,COMPLETE
3,3,54259.58203125,2023-03-26 12:30:47.355687,2023-03-26 12:31:27.639059,0 days 00:00:40.283372,0.6430502555440851,7.6952725750322974,18.359064987915815,8,0.7117661919889421,COMPLETE
4,4,48113.6328125,2023-03-26 12:31:27.790361,2023-03-26 12:32:02.867959,0 days 00:00:35.077598,0.8595966753307485,13.29130327929252,19.17209222674736,6,0.8880960085731444,COMPLETE
5,5,57649.44140625,2023-03-26 12:32:03.079475,2023-03-26 12:32:34.315806,0 days 00:00:31.236331,0.8440083614385705,1.0267596188649262,9.873274251465702,6,0.9393341165029397,COMPLETE
6,6,49564.87109375,2023-03-26 12:32:34.463564,2023-03-26 12:33:09.842896,0 days 00:00:35.379332,0.9630931750438196,13.801048819447255,17.794131286149057,8,0.742133352610854,COMPLETE
7,7,46882.84375,2023-03-26 12:33:09.996250,2023-03-26 12:33:34.156865,0 days 00:00:24.160615,0.8342174924810524,4.592309013158853,4.322806305469282,5,0.7633327089983357,COMPLETE
8,8,45579.5390625,2023-03-26 12:33:34.312659,2023-03-26 12:34:07.142303,0 days 00:00:32.829644,0.9168086304390445,13.211049481291035,11.024299862859008,7,0.7161244389765042,COMPLETE
9,9,33294.34765625,2023-03-26 12:34:07.290343,2023-03-26 12:34:28.711156,0 days 00:00:21.420813,0.5648318162097961,17.90889930178903,4.533413099709675,4,0.6183418516375961,COMPLETE
10,10,38446.015625,2023-03-26 12:34:28.857290,2023-03-26 12:34:48.814217,0 days 00:00:19.956927,0.5053944883466094,18.518911496292866,5.404196250241293,4,0.5073857922450061,COMPLETE
11,11,24266.84375,2023-03-26 12:34:48.961485,2023-03-26 12:35:16.920635,0 days 00:00:27.959150,0.6496736884891545,19.888364914016222,1.6071532162028515,5,0.601521550898078,COMPLETE
12,12,25370.744140625,2023-03-26 12:35:17.071788,2023-03-26 12:35:45.038855,0 days 00:00:27.967067,0.6661446111167507,19.391150766195523,1.8520070984282389,5,0.591179285883823,COMPLETE
13,13,22496.95703125,2023-03-26 12:35:45.225166,2023-03-26 12:36:13.912131,0 days 00:00:28.686965,0.6703665255023743,19.776466383197906,1.0847833573963552,5,0.5975334105526131,COMPLETE
14,14,22721.4765625,2023-03-26 12:36:14.064604,2023-03-26 12:36:42.787086,0 days 00:00:28.722482,0.70960443225881,19.815566237132618,1.265036776455789,5,0.639803772125531,COMPLETE
15,15,23832.953125,2023-03-26 12:36:42.930972,2023-03-26 12:37:16.344323,0 days 00:00:33.413351,0.7055429744447866,16.3060605954528,1.262525992225092,6,0.6528173232470519,COMPLETE
16,16,41582.52734375,2023-03-26 12:37:16.489287,2023-03-26 12:37:38.560003,0 days 00:00:22.070716,0.7446838643845592,16.056920519031383,6.333779157452244,5,0.5242514209073084,COMPLETE
17,17,28458.923828125,2023-03-26 12:37:38.699362,2023-03-26 12:38:14.883095,0 days 00:00:36.183733,0.7436401046126662,19.942028724110116,3.3731655817908086,7,0.6611250866278611,COMPLETE
18,18,33845.2265625,2023-03-26 12:38:15.024183,2023-03-26 12:38:41.821706,0 days 00:00:26.797523,0.6068523462359052,16.557439924673883,3.6123695770138866,6,0.5326766863330581,COMPLETE
19,19,26205.609375,2023-03-26 12:38:41.974449,2023-03-26 12:39:03.866261,0 days 00:00:21.891812,0.6995866411364033,11.726906658664651,1.183092738926305,4,0.5718191015780929,COMPLETE
