,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1.2446774244308472,2023-03-23 18:17:13.425088,2023-03-23 18:17:26.909677,0 days 00:00:13.484589,0.53655408396906,19.305414585077898,19.576215785872854,5,0.5013711767918518,COMPLETE
1,1,1.2838525772094727,2023-03-23 18:17:27.124487,2023-03-23 18:17:40.467743,0 days 00:00:13.343256,0.5701804936237505,17.09257195218618,11.005812489722587,4,0.5943098722735783,COMPLETE
2,2,1.5991802215576172,2023-03-23 18:17:40.642060,2023-03-23 18:17:50.756196,0 days 00:00:10.114136,0.5620010493778502,2.7352416878263184,1.0325148637847423,7,0.6637172029011968,COMPLETE
3,3,1.2856528759002686,2023-03-23 18:17:50.952267,2023-03-23 18:18:05.868091,0 days 00:00:14.915824,0.6533261286372116,2.309732238916797,19.97865894998465,6,0.8948426147319678,COMPLETE
4,4,1.4424623250961304,2023-03-23 18:18:06.034506,2023-03-23 18:18:17.277476,0 days 00:00:11.242970,0.663220703019977,3.943974962521418,3.311643171161003,7,0.6284054078500415,COMPLETE
5,5,1.2263047695159912,2023-03-23 18:18:17.447241,2023-03-23 18:18:29.258498,0 days 00:00:11.811257,0.7775151931915083,15.28310712723554,8.407323136772327,6,0.9204395881824415,COMPLETE
6,6,1.2428371906280518,2023-03-23 18:18:29.420731,2023-03-23 18:18:40.680056,0 days 00:00:11.259325,0.6267912039549772,16.06831896157511,6.107094715562361,5,0.9891291128451946,COMPLETE
7,7,1.2263282537460327,2023-03-23 18:18:40.877489,2023-03-23 18:18:54.237761,0 days 00:00:13.360272,0.7051547491973356,11.754627835489044,10.033691421290516,5,0.6695319272062277,COMPLETE
8,8,1.2333990335464478,2023-03-23 18:18:54.402549,2023-03-23 18:19:07.951692,0 days 00:00:13.549143,0.9473355251787205,11.115807175201013,4.905041755653509,5,0.8780492165211388,COMPLETE
9,9,1.2664501667022705,2023-03-23 18:19:08.118557,2023-03-23 18:19:22.856256,0 days 00:00:14.737699,0.8621310369511782,16.707782535952788,19.81224172630181,5,0.6893468564211418,COMPLETE
10,10,1.208484172821045,2023-03-23 18:19:23.024105,2023-03-23 18:19:43.315341,0 days 00:00:20.291236,0.790675861786925,7.617444664714237,9.556366620283574,8,0.7948869956524148,COMPLETE
11,11,1.250620722770691,2023-03-23 18:19:43.532757,2023-03-23 18:19:58.343016,0 days 00:00:14.810259,0.8044482818632929,7.360760339326464,9.431059109302977,8,0.7992166573857912,COMPLETE
12,12,1.2178136110305786,2023-03-23 18:19:58.503204,2023-03-23 18:20:33.913390,0 days 00:00:35.410186,0.7686581386167043,8.025130122044411,12.711450587169422,8,0.8000206789882026,COMPLETE
13,13,1.2282418012619019,2023-03-23 18:20:34.077614,2023-03-23 18:20:50.907035,0 days 00:00:16.829421,0.7422063048517604,6.840837050899739,13.024825819911266,8,0.7815211203851076,COMPLETE
14,14,1.2601431608200073,2023-03-23 18:20:51.090574,2023-03-23 18:21:25.598795,0 days 00:00:34.508221,0.8422208791633756,8.493297767829347,13.197772313263842,8,0.747976285687858,COMPLETE
15,15,1.2418699264526367,2023-03-23 18:21:25.761079,2023-03-23 18:21:43.684312,0 days 00:00:17.923233,0.7331320163683812,5.468427836509404,15.129312333067801,7,0.8278647498446781,COMPLETE
16,16,1.1887049674987793,2023-03-23 18:21:43.848774,2023-03-23 18:21:56.801139,0 days 00:00:12.952365,0.8985892349067683,9.484254593777381,7.752355331973741,8,0.7422237699645844,COMPLETE
17,17,1.2291526794433594,2023-03-23 18:21:56.961419,2023-03-23 18:22:14.771066,0 days 00:00:17.809647,0.9792069685237592,1.0817638119093864,7.620380128380278,7,0.7287547227848962,COMPLETE
18,18,1.1844959259033203,2023-03-23 18:22:14.936673,2023-03-23 18:22:30.961277,0 days 00:00:16.024604,0.9131717342796585,10.06671990175621,7.00246877683544,8,0.7306600357906379,COMPLETE
19,19,1.1798194646835327,2023-03-23 18:22:31.130706,2023-03-23 18:22:48.180008,0 days 00:00:17.049302,0.914252742366537,10.361565972018626,6.259028225896229,7,0.7330754124484717,COMPLETE
