,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1.2831627130508423,2023-03-23 18:34:21.597589,2023-03-23 18:34:34.401303,0 days 00:00:12.803714,0.8047249913600105,7.234674429121339,6,0.5892708066084936,COMPLETE
1,1,1.2175999879837036,2023-03-23 18:34:34.617822,2023-03-23 18:34:50.790786,0 days 00:00:16.172964,0.8369466256765492,16.075874873198746,6,0.9825927591831812,COMPLETE
2,2,1.308787226676941,2023-03-23 18:34:50.958056,2023-03-23 18:35:11.641342,0 days 00:00:20.683286,0.9594057918775802,5.281371732176286,8,0.9505466415745936,COMPLETE
3,3,1.3982625007629395,2023-03-23 18:35:11.867762,2023-03-23 18:35:26.789047,0 days 00:00:14.921285,0.9577641411454423,1.482740150722729,6,0.9398874720558223,COMPLETE
4,4,1.2189724445343018,2023-03-23 18:35:26.952888,2023-03-23 18:35:54.188118,0 days 00:00:27.235230,0.7125562364817339,15.118593217278171,8,0.9152604765016628,COMPLETE
5,5,1.2775734663009644,2023-03-23 18:35:54.352623,2023-03-23 18:36:14.638619,0 days 00:00:20.285996,0.8995373016393722,14.084628655643423,6,0.6167804488748564,COMPLETE
6,6,1.2812272310256958,2023-03-23 18:36:14.800371,2023-03-23 18:36:38.168120,0 days 00:00:23.367749,0.9009784568150334,5.837450705249708,8,0.7882912327722148,COMPLETE
7,7,1.2138932943344116,2023-03-23 18:36:38.366714,2023-03-23 18:36:54.079323,0 days 00:00:15.712609,0.6925775168749361,2.765794450957727,4,0.6982404606953234,COMPLETE
8,8,1.2440650463104248,2023-03-23 18:36:54.246448,2023-03-23 18:37:16.009878,0 days 00:00:21.763430,0.6628659645941324,16.06718076645705,7,0.9894285311458451,COMPLETE
9,9,1.1946073770523071,2023-03-23 18:37:16.220565,2023-03-23 18:37:26.357811,0 days 00:00:10.137246,0.6715838793138222,3.1074342566229545,4,0.6103097212315695,COMPLETE
10,10,1.2275232076644897,2023-03-23 18:37:26.533234,2023-03-23 18:37:39.112576,0 days 00:00:12.579342,0.5475950654307903,10.068339162034533,4,0.5305151323629456,COMPLETE
11,11,1.3597997426986694,2023-03-23 18:37:39.333082,2023-03-23 18:37:57.921779,0 days 00:00:18.588697,0.6420190548074738,1.5396771329621293,4,0.6848870672314291,COMPLETE
12,12,1.2707809209823608,2023-03-23 18:37:58.085646,2023-03-23 18:38:09.389888,0 days 00:00:11.304242,0.7448774543762082,3.6511755048973997,5,0.7229251064765025,COMPLETE
13,13,1.2064228057861328,2023-03-23 18:38:09.549947,2023-03-23 18:38:25.168770,0 days 00:00:15.618823,0.587007296970639,19.674967692041676,4,0.651313702006604,COMPLETE
14,14,1.2242674827575684,2023-03-23 18:38:25.338963,2023-03-23 18:38:52.370530,0 days 00:00:27.031567,0.578804831995365,19.750530527046987,5,0.5014505516825465,COMPLETE
15,15,1.2262858152389526,2023-03-23 18:38:52.537259,2023-03-23 18:39:05.196680,0 days 00:00:12.659421,0.5046404812341455,8.614099905467677,5,0.6242303076871265,COMPLETE
16,16,1.2567980289459229,2023-03-23 18:39:05.358032,2023-03-23 18:39:17.623411,0 days 00:00:12.265379,0.6037100163330579,11.778579747910378,4,0.7803562102663872,COMPLETE
17,17,1.222375750541687,2023-03-23 18:39:17.808428,2023-03-23 18:39:37.124022,0 days 00:00:19.315594,0.6328553082223706,19.641749798448014,5,0.5588889152689278,COMPLETE
18,18,1.2035579681396484,2023-03-23 18:39:37.289406,2023-03-23 18:39:49.786941,0 days 00:00:12.497535,0.5764172323274763,11.083672311956406,4,0.6365337010075167,COMPLETE
19,19,1.2198227643966675,2023-03-23 18:39:49.961486,2023-03-23 18:40:03.601366,0 days 00:00:13.639880,0.5015150358654916,8.22740378775229,5,0.5828691389794534,COMPLETE
