,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1.2728080749511719,2023-03-23 18:27:48.168163,2023-03-23 18:28:18.428992,0 days 00:00:30.260829,0.5390194808821218,19.58559927734926,8,0.7133668079625618,COMPLETE
1,1,1.2063536643981934,2023-03-23 18:28:18.586519,2023-03-23 18:28:38.222281,0 days 00:00:19.635762,0.8556466953187218,5.794161186892384,7,0.6192220041016354,COMPLETE
2,2,1.1800642013549805,2023-03-23 18:28:38.385897,2023-03-23 18:28:53.129872,0 days 00:00:14.743975,0.7875066503541389,10.139948016707029,5,0.9897589725624076,COMPLETE
3,3,1.1509283781051636,2023-03-23 18:28:53.290034,2023-03-23 18:29:07.589721,0 days 00:00:14.299687,0.591170045348445,10.17035917817738,5,0.9665645218993475,COMPLETE
4,4,1.1907929182052612,2023-03-23 18:29:07.753950,2023-03-23 18:29:22.961608,0 days 00:00:15.207658,0.8883974762619107,9.442559986725524,5,0.8340983124462045,COMPLETE
5,5,1.1916682720184326,2023-03-23 18:29:23.179064,2023-03-23 18:29:41.549671,0 days 00:00:18.370607,0.5116223902024062,2.5038935166379264,8,0.7347891471862718,COMPLETE
6,6,1.2394603490829468,2023-03-23 18:29:41.710458,2023-03-23 18:30:09.392305,0 days 00:00:27.681847,0.5809568228517776,16.45463431448639,7,0.504457333892144,COMPLETE
7,7,1.185468077659607,2023-03-23 18:30:09.555991,2023-03-23 18:30:30.875488,0 days 00:00:21.319497,0.540845575488476,19.523167934990884,4,0.5600361258573866,COMPLETE
8,8,1.1714928150177002,2023-03-23 18:30:31.031258,2023-03-23 18:30:44.191179,0 days 00:00:13.159921,0.5413314728562459,5.148708767132932,4,0.7590688389779308,COMPLETE
9,9,1.2308686971664429,2023-03-23 18:30:44.352561,2023-03-23 18:31:04.590380,0 days 00:00:20.237819,0.7437470575670743,2.701375560912317,8,0.7134793413661686,COMPLETE
10,10,1.2180384397506714,2023-03-23 18:31:04.754193,2023-03-23 18:31:25.931513,0 days 00:00:21.177320,0.6585742307709148,13.504974559227808,6,0.9946933838799429,COMPLETE
11,11,1.1409803628921509,2023-03-23 18:31:26.091159,2023-03-23 18:31:41.145050,0 days 00:00:15.053891,0.6277000798120216,6.8240913264208665,4,0.8684849540249682,COMPLETE
12,12,1.1685224771499634,2023-03-23 18:31:41.353656,2023-03-23 18:31:57.517137,0 days 00:00:16.163481,0.6633079006055498,8.035588948617963,5,0.9201850202034151,COMPLETE
13,13,1.134153962135315,2023-03-23 18:31:57.678162,2023-03-23 18:32:15.482092,0 days 00:00:17.803930,0.6321121031583311,12.598745683172599,4,0.9050037243137476,COMPLETE
14,14,1.1377750635147095,2023-03-23 18:32:15.648482,2023-03-23 18:32:31.293102,0 days 00:00:15.644620,0.9766594713611438,13.337261198810278,4,0.8949594476888457,COMPLETE
15,15,1.1506633758544922,2023-03-23 18:32:31.451108,2023-03-23 18:32:47.002670,0 days 00:00:15.551562,0.9345909130531527,12.907749247309116,4,0.8960723658021349,COMPLETE
16,16,1.2240676879882812,2023-03-23 18:32:47.164132,2023-03-23 18:33:07.338937,0 days 00:00:20.174805,0.9588242830348223,12.820046007499888,6,0.8252470201341464,COMPLETE
17,17,1.1693675518035889,2023-03-23 18:33:07.554110,2023-03-23 18:33:25.806939,0 days 00:00:18.252829,0.7213841762651035,15.212210909626682,4,0.9427894262682851,COMPLETE
18,18,1.2082984447479248,2023-03-23 18:33:25.965611,2023-03-23 18:33:47.572930,0 days 00:00:21.607319,0.9859978611266301,12.01213849601062,6,0.8817257189546014,COMPLETE
19,19,1.203535795211792,2023-03-23 18:33:47.734173,2023-03-23 18:34:03.323479,0 days 00:00:15.589306,0.8155027534687771,15.446638103108691,5,0.9170959643584485,COMPLETE
