,number,value,datetime_start,datetime_complete,duration,params_colsample,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1.2244327068328857,2023-03-23 18:23:03.436525,2023-03-23 18:23:17.607775,0 days 00:00:14.171250,0.7478516644128426,14.297859296006978,8,0.6109481324956709,COMPLETE
1,1,1.1783491373062134,2023-03-23 18:23:17.766241,2023-03-23 18:23:27.188874,0 days 00:00:09.422633,0.9233931192346343,3.095623982647968,6,0.6404600695622181,COMPLETE
2,2,1.1913472414016724,2023-03-23 18:23:27.352564,2023-03-23 18:23:35.563501,0 days 00:00:08.210937,0.8490814410876357,7.21900161434944,7,0.7561872574227512,COMPLETE
3,3,1.226418375968933,2023-03-23 18:23:35.727618,2023-03-23 18:23:44.922869,0 days 00:00:09.195251,0.8756917870442398,5.220762361047135,5,0.8227121602477856,COMPLETE
4,4,1.2421400547027588,2023-03-23 18:23:45.084344,2023-03-23 18:24:03.408709,0 days 00:00:18.324365,0.6553876793367385,15.863093101915357,6,0.8054399522170217,COMPLETE
5,5,1.2195004224777222,2023-03-23 18:24:03.574055,2023-03-23 18:24:19.696411,0 days 00:00:16.122356,0.581002351655176,7.952394415713465,5,0.6294142102663818,COMPLETE
6,6,1.2036988735198975,2023-03-23 18:24:19.848469,2023-03-23 18:24:30.763808,0 days 00:00:10.915339,0.6052033584219481,9.438554287007769,5,0.9854908037551022,COMPLETE
7,7,1.2071318626403809,2023-03-23 18:24:30.922467,2023-03-23 18:24:42.415692,0 days 00:00:11.493225,0.7491588514671579,6.466119983191327,5,0.9448679481955276,COMPLETE
8,8,1.2242558002471924,2023-03-23 18:24:42.578538,2023-03-23 18:25:05.565077,0 days 00:00:22.986539,0.6995828794286103,18.355628823171195,6,0.8070459948022942,COMPLETE
9,9,1.164289116859436,2023-03-23 18:25:05.731797,2023-03-23 18:25:20.382303,0 days 00:00:14.650506,0.9570222218492905,13.648977703175404,8,0.6863637695159437,COMPLETE
10,10,1.2088114023208618,2023-03-23 18:25:20.548283,2023-03-23 18:25:42.589160,0 days 00:00:22.040877,0.9827104145768706,12.232723966491019,8,0.5653616557842962,COMPLETE
11,11,1.1391963958740234,2023-03-23 18:25:42.758551,2023-03-23 18:25:51.759629,0 days 00:00:09.001078,0.995321055059936,1.210194357825138,7,0.6669902216160122,COMPLETE
12,12,1.1709102392196655,2023-03-23 18:25:51.924220,2023-03-23 18:26:01.588326,0 days 00:00:09.664106,0.9871081429689673,1.0435654047183007,7,0.5130025498547729,COMPLETE
13,13,1.208309292793274,2023-03-23 18:26:01.751091,2023-03-23 18:26:19.883227,0 days 00:00:18.132136,0.8644464624755213,11.258432620220374,7,0.6927329314187852,COMPLETE
14,14,1.173095464706421,2023-03-23 18:26:20.050157,2023-03-23 18:26:41.411462,0 days 00:00:21.361305,0.5102936163468557,9.86922248014659,8,0.7026454518066929,COMPLETE
15,15,1.1813627481460571,2023-03-23 18:26:41.576113,2023-03-23 18:26:51.073436,0 days 00:00:09.497323,0.9311966948446244,4.26787118405224,7,0.6987684072315373,COMPLETE
16,16,1.2073534727096558,2023-03-23 18:26:51.234272,2023-03-23 18:27:03.307499,0 days 00:00:12.073227,0.9948466048509493,1.167472662130484,4,0.5103741645653117,COMPLETE
17,17,1.1817312240600586,2023-03-23 18:27:03.471311,2023-03-23 18:27:16.037367,0 days 00:00:12.566056,0.8080195303193278,13.212422399148753,8,0.5710453703046686,COMPLETE
18,18,1.185569167137146,2023-03-23 18:27:16.197852,2023-03-23 18:27:28.057542,0 days 00:00:11.859690,0.9268473801509414,8.758575542299024,7,0.6686295553987573,COMPLETE
19,19,1.1882504224777222,2023-03-23 18:27:28.224492,2023-03-23 18:27:38.292918,0 days 00:00:10.068426,0.8065540430422328,11.143513807694413,8,0.7428126192103306,COMPLETE
