,number,value,datetime_start,datetime_complete,duration,params_colsample,params_delta,params_lambda_l2,params_max_depth,params_subsample,state
0,0,1.2389001846313477,2023-03-23 18:12:23.071591,2023-03-23 18:12:38.233260,0 days 00:00:15.161669,0.8476063957235507,1.281671071454488,19.433894950860257,5,0.7552466477149533,COMPLETE
1,1,1.2326024770736694,2023-03-23 18:12:38.415978,2023-03-23 18:12:47.898760,0 days 00:00:09.482782,0.6308699455180775,6.923696045361817,2.7184818305974354,8,0.5626303859048218,COMPLETE
2,2,1.2841005325317383,2023-03-23 18:12:48.073497,2023-03-23 18:13:25.306695,0 days 00:00:37.233198,0.6310184407767968,4.176902348698935,15.878832306022863,8,0.8537746348058987,COMPLETE
3,3,1.2694933414459229,2023-03-23 18:13:25.469374,2023-03-23 18:13:38.956031,0 days 00:00:13.486657,0.8506515216219754,12.64083984104515,14.91007025113387,8,0.7846172191753713,COMPLETE
4,4,1.2498018741607666,2023-03-23 18:13:39.127740,2023-03-23 18:13:52.288760,0 days 00:00:13.161020,0.9925860073941659,3.0038353562180764,2.7714268783462987,8,0.7954047741065866,COMPLETE
5,5,1.240346074104309,2023-03-23 18:13:52.458434,2023-03-23 18:14:12.485185,0 days 00:00:20.026751,0.8083225767714269,4.476862593740479,13.386183857824667,7,0.5791063653479147,COMPLETE
6,6,1.2119839191436768,2023-03-23 18:14:12.656225,2023-03-23 18:14:31.518077,0 days 00:00:18.861852,0.5918838437598721,4.3674038102286925,9.324252201447372,4,0.9601769469433641,COMPLETE
7,7,1.253623127937317,2023-03-23 18:14:31.687144,2023-03-23 18:14:47.634061,0 days 00:00:15.946917,0.5400634461016106,7.266465091784827,16.867208943352992,7,0.5072731365492773,COMPLETE
8,8,1.2877401113510132,2023-03-23 18:14:47.800953,2023-03-23 18:14:59.951072,0 days 00:00:12.150119,0.8014780294208736,3.212727537212845,4.086443929561057,4,0.5660422373492284,COMPLETE
9,9,1.2685949802398682,2023-03-23 18:15:00.126175,2023-03-23 18:15:13.158850,0 days 00:00:13.032675,0.749455559736116,8.086804843869906,12.446971852070465,5,0.6092103610023913,COMPLETE
10,10,1.2607934474945068,2023-03-23 18:15:13.333074,2023-03-23 18:15:25.137564,0 days 00:00:11.804490,0.502762592316187,16.295668375431944,9.000338989688068,4,0.9827365909904794,COMPLETE
11,11,1.2562644481658936,2023-03-23 18:15:25.302873,2023-03-23 18:15:33.460027,0 days 00:00:08.157154,0.623811749221277,8.165904513977862,6.639646383690135,6,0.6904902149317094,COMPLETE
12,12,1.1799333095550537,2023-03-23 18:15:33.634607,2023-03-23 18:15:42.049612,0 days 00:00:08.415005,0.6096337826307714,11.470892301971446,1.1768890439995148,6,0.9194790192020053,COMPLETE
13,13,1.2181485891342163,2023-03-23 18:15:42.217965,2023-03-23 18:15:55.976790,0 days 00:00:13.758825,0.572836885051399,11.50865463863143,9.214081723044739,5,0.980471976669115,COMPLETE
14,14,1.142259955406189,2023-03-23 18:15:56.147026,2023-03-23 18:16:08.388386,0 days 00:00:12.241360,0.712780998790993,13.768466521484097,1.193296913484547,6,0.9057167344723668,COMPLETE
15,15,1.1419450044631958,2023-03-23 18:16:08.559872,2023-03-23 18:16:18.355254,0 days 00:00:09.795382,0.691134473169988,14.346758090747851,1.073784318834745,6,0.9011686729331003,COMPLETE
16,16,1.2176258563995361,2023-03-23 18:16:18.520184,2023-03-23 18:16:29.359662,0 days 00:00:10.839478,0.6928966172957821,19.56572137214307,5.7657306951074885,7,0.8938242564022297,COMPLETE
17,17,1.1253629922866821,2023-03-23 18:16:29.535301,2023-03-23 18:16:40.422019,0 days 00:00:10.886718,0.6887915647830781,14.829445871852002,1.0841234945113805,6,0.8666495954275925,COMPLETE
18,18,1.2277878522872925,2023-03-23 18:16:40.595784,2023-03-23 18:16:50.379431,0 days 00:00:09.783647,0.6925032892592673,15.076652283518175,5.625056956742009,5,0.8396844464553931,COMPLETE
19,19,1.2117235660552979,2023-03-23 18:16:50.565988,2023-03-23 18:17:02.803316,0 days 00:00:12.237328,0.6696005235858329,16.796799123054605,4.334350985467988,7,0.8416515586852972,COMPLETE
